tsne 1,tsne 2,tsne 3,cluster,color,title
2.778404844967622,26.004674463810648,21.984864672843234,3,"rgb(131,240,41)",Distribution of open data including train locations and schedules
0.9762760960285476,29.97813080427925,20.77927895475707,3,"rgb(131,240,41)",Statistical analysis of big data for enhancement of train driving skills
0.10171785611444133,30.236468815627514,20.57756358472352,3,"rgb(131,240,41)","Beyond the wave of ""big data"" - How we can realize robust train operation using train operation record data?"
-4.142357282676159,33.196236972960065,17.726989176629914,3,"rgb(131,240,41)",Condition monitoring of railway tracks using in-service vehicles - Development of probe system for track condition monitoring
0.7410341312832681,19.85757058005633,24.866191268068405,3,"rgb(131,240,41)",Contactless smart card AFC trials in East Japan Railway Co.
0.9642243867122109,19.95935164558513,24.680836803721558,3,"rgb(131,240,41)",Development of contactless smart card AFC (automatic fare-collecting) system in East Japan Railway Company
1.0916006984112916,20.03106302958569,24.547194969073033,3,"rgb(131,240,41)",Fare collection automatization system of East Japan Railway Company
-1.8358426622291413,29.75321250911729,21.726792410832015,3,"rgb(131,240,41)",Development of an integrated public transportation system based in a train station
1.8563405837187212,32.62779952045514,16.87576506404521,3,"rgb(131,240,41)",A train speed measurement and arrival time prediction system for highway-rail grade crossings
0.7502066207687915,24.631451438713786,18.6309898299016,3,"rgb(131,240,41)",Designing a demand sensitive timetable for MRT services
1.7018577287773893,24.34964130747644,21.00726255001246,3,"rgb(131,240,41)",Identification method and application of traffic demand characteristics of rail transit site
2.132004156836364,22.164151006713677,24.38322302754095,3,"rgb(131,240,41)",Analysis method for passenger flow characteristics of urban rail transit under emergent events based on AFC data
0.192219854604508,28.081693706472635,17.9965973094313,3,"rgb(131,240,41)",An Approach for Energy-Efficient and Punctual Train Operation via Driver Advisory System
0.3572117860566222,29.75135571190369,20.81769047310878,3,"rgb(131,240,41)",Discussion on the application of big data in rail transit organization
-3.74193138702285,30.153318305619912,15.62594610051229,3,"rgb(131,240,41)",Simulation data generating algorithm for railway turnout fault diagnosis in big data maintenance management system
2.0889448744161254,28.160860585137588,22.33990061933516,3,"rgb(131,240,41)",Research on the warning threshold of rail transit passenger flow by big data
-5.103935117690441,35.954003946214954,18.261139517195502,3,"rgb(131,240,41)",Catenary poles detection and occlusion reasoning for electric railway infrastructure visual inspection
-3.827932486423001,31.95408076058409,16.075085397820875,3,"rgb(131,240,41)",A new feature evaluation algorithm and its application to fault of high-speed railway
2.0364391852173696,21.889693436366702,24.58007703519377,3,"rgb(131,240,41)",A time-based subway passengers’ route choice model using AFC data
-3.3354165329867027,32.395864960221374,15.669195976889837,3,"rgb(131,240,41)",Evaluating degradation at railway crossings using axle box acceleration measurements
2.7106799253600573,26.39830786135973,21.93949425639713,3,"rgb(131,240,41)",Ubiquitous connected train based on train-to-ground and intra-wagon communications capable of providing on trip customized digital services for passengers
-3.638569970480612,29.693088495208748,18.96184159887155,3,"rgb(131,240,41)",Online condition monitoring of a rail fastening system on high-speed railways based on wavelet packet analysis
-3.807331324630796,29.234977183184913,19.691063558534644,3,"rgb(131,240,41)",Towards the internet of smart trains: A review on industrial IoT-connected railways
-3.633502900201166,31.706112454361442,17.199381690923275,3,"rgb(131,240,41)",An adaptive track segmentation algorithm for a railway intrusion detection system
-5.0041400551421855,33.72559448273822,16.898971076422193,3,"rgb(131,240,41)",Intelligent image-based railway inspection system using deep learning-based object detection and weber contrast-based image comparison
-3.3820983024459936,34.45728404638404,19.1117857906323,3,"rgb(131,240,41)",High-speed railway intruding object image generating with generative adversarial networks
0.7449524673325814,29.323073124028355,20.888898266228228,3,"rgb(131,240,41)",Leveraging Big Data Analytics for Train Schedule Optimization in Urban Rail Transit Systems
-4.543532033517288,30.397344359460913,18.077498238519546,3,"rgb(131,240,41)",Automation of operational train control on regional branch lines by a basic train control
-4.352589325165,31.26240228452653,19.288254971003283,3,"rgb(131,240,41)",Field trial and study of route-tracking beamforming over high-speed railway
-2.485243190149013,33.57786038323923,13.238017451597765,3,"rgb(131,240,41)",A backup system based on a decentralized positioning system for managing the railway traffic in emergency situations
-3.317215957084436,27.889198362914616,16.114920882369688,3,"rgb(131,240,41)",A speed trajectory optimization model for rail vehicles using mixed integer linear programming
-2.6575701316458704,28.667966205714933,16.565354004122412,3,"rgb(131,240,41)",Optimization for train speed trajectory based on Pontryagin's Maximum Principle
-3.621237890606772,24.399390382542723,16.9041995486623,3,"rgb(131,240,41)",Partial speed trajectory optimization for urban rail vehicles with considerations on motor efficiency
-2.0487241436560644,29.05120574799655,17.302072827264787,3,"rgb(131,240,41)",A Multiple-Phase Train Trajectory Optimization Method under Real-Time Rail Traffic Management
-3.4860989441453496,32.009415598415764,18.074706062018066,3,"rgb(131,240,41)",Behavior understanding at railway station by postures and the pseud-trellis analysis of trajectories
-1.2894493532684423,27.384759715431155,19.82123392951617,3,"rgb(131,240,41)",Energy efficient driving strategy for trains in MRT systems
-2.378419293919791,29.647861290746953,16.64472533931601,3,"rgb(131,240,41)",A Hybrid Dynamic-Kinematic EKF for Train Trajectory Estimation
-0.10392347373051247,28.3830108058337,18.05245813364677,3,"rgb(131,240,41)",Energy saving for automatic train control in moving block signaling system
-8.595067888783692,30.880651548217568,14.647867314472325,3,"rgb(131,240,41)",Earth Potential as the Energy Storage in Rail Transit System - On a Vertical Alignment Optimization Problem
-1.8546270170105188,29.985609263110696,21.426850334548813,3,"rgb(131,240,41)",An Infrastructure for Integrated Management of Urban Railway Crossing Areas
-4.070486842253263,29.105021714872123,15.5716354657555,3,"rgb(131,240,41)",Vision-based railroad track extraction using dynamic programming
-4.989697450078807,34.935023270724216,16.802873116882306,3,"rgb(131,240,41)",An automatic inspection system for the hexagonal headed bolts detection in railway maintenance
-5.132540694139797,34.404530761453536,16.359412411889785,3,"rgb(131,240,41)",Visual recognition of missing fastening elements for railroad maintenance
-3.1596381456843936,33.51505384293489,16.21633844706757,3,"rgb(131,240,41)",Accident risk analysis and model applications of railway level crossings
0.9426877721789227,26.629091413717585,19.69151075813624,3,"rgb(131,240,41)",Simulation of demand and supply of urban rail in a multimodal environment
-3.1442744150509934,32.7623177121287,16.094177945025255,3,"rgb(131,240,41)",Identification of Significant Factors Contributing to Multi-attribute Railway Accidents Dataset (MARA-D) Using SOM Data Mining
2.1611291437098594,21.909937227192078,24.58965370573081,3,"rgb(131,240,41)",Extracting Metro Passengers' Route Choice via AFC Data Utilizing Gaussian Mixture Clustering
2.3107112325052523,28.70622187411916,21.477634805967398,3,"rgb(131,240,41)",Development of a real-time stringlines tool to visualize subway operations and manage service at New York City transit
-3.2694010404758704,30.913203270433012,21.085445915396594,3,"rgb(131,240,41)",Freight-specific data derived from intelligent transportation systems potential uses in planning freight improvement projects
-1.1934911113100946,27.303316910743746,19.36552535950793,3,"rgb(131,240,41)",Quantification of Energy Saving Potential for A Passenger Train Based on Inter-Run Variability in Speed Trajectories
-2.804877402362524,26.857047083093462,14.368515216901299,3,"rgb(131,240,41)",Calibration of rail transit assignment model with automated fare collection data and a parallel genetic algorithm
-1.4947209854672334,25.610309692998328,20.760201262227774,3,"rgb(131,240,41)",High-load transit line passenger transmission and productiveness efficiencies
-0.8251885235652205,32.5489038892845,21.77131072722837,3,"rgb(131,240,41)",Who rides airport railways?
